Material Group,MG Description ,PGr,PGr Description,
00000,none,100,City Mgr,
00500,abrasives,101,City Mgr 1,
00505,abrasive equip/tools,102,City Mgr 2,
00514,cloth/fiber/sandpaper,103,City Mgr 3,
00521,abr:sandblast/metal,104,City Mgr 4,
00528,abr sandb non metal,105,City Mgr 5,
00542,"abrasives, solid",106,City Mgr 6,
00556,abr:tumbling (wheel),107,City Mgr 7,
00563,grind/polish,108,City Mgr 8,
00570,pumice stone,109,City Mgr 9,
00575,recycle abraisons products/supplies,110,Economic Dev.,
00584,wool: steel/alumn,111,Economic Dev. 1,
01000,"acoustical tile, ins",112,Economic Dev. 2,
01005,acoustic tile/recycl,113,Economic Dev. 3,
01008,acoustical tile acc,114,Economic Dev. 4,
01009,acoust tile insul,115,Economic Dev. 5,
01011,adhes/cement acoust,116,Economic Dev. 6,
01014,adhes/cements insul,117,Economic Dev. 7,
01017,aluminum foil,118,Economic Dev. 8,
01030,band/clip/pipe insul,119,Economic Dev. 9,
01038,clip/pin(duct insul),120,City Clerk,
01041,cork:board/sheet,121,City Clerk 1,
01045,ext insul/finish sys,122,City Clerk 2,
01053,fibergls:blanke/roll,123,City Clerk 3,
01056,foam gls:block/sheet,124,City Clerk 4,
01057,foam:insul phen uret,125,City Clerk 5,
01059,foam: plastics,126,City Clerk 6,
01062,"insulation, interior",127,City Clerk 7,
01063,"insulation, blown",128,City Clerk 8,
01064,"insulation, loose",129,City Clerk 9,
01065,jacketing insulat,130,City Attorney,
01070,magnesia block/sheet,131,City Attorney 1,
01072,mineral wool etc,132,City Attorney 2,
01075,paint/primer/sealer,133,City Attorney 3,
01076,paper insul:cellulos,134,City Attorney 4,
01078,"pipe, tubing insul",135,City Attorney 5,
01081,insulat tee/valve,136,City Attorney 6,
01083,recycl insul mat/sup,137,City Attorney 7,
01084,rubber insulation,138,City Attorney 8,
01506,address mach supply,139,City Attorney 9,
01510,addss mach sup:paper,140,Real Estate,
01515,chemical/supply:dry,141,Real Estate 1,
01516,chemical/supply:wet,142,Real Estate 2,
01520,chem/supply:spirit,143,Real Estate 3,
01525,supplies: mimeograph,144,Real Estate 4,
01538,supplies: blueline,145,Real Estate 5,
01539,supplies: coated ppr,146,Real Estate 6,
01545,supplies: diffusion,147,Real Estate 7,
01555,supplies: dual spec,148,Real Estate 8,
01570,supplies:thermal pro,149,Real Estate 9,
01577,supplies: recycled,150,Treasurer,
01920,barley,151,Treasurer 1,
01921,berry crops,152,Treasurer 2,
01924,buckwheat,153,Treasurer 3,
01930,corn,154,Treasurer 4,
01932,cotton,155,Treasurer 5,
01941,"fruits, citrus",156,Treasurer 6,
01942,fruit:deciduous tree,157,Treasurer 7,
01947,grapes,158,Treasurer 8,
01950,hops,159,Treasurer 9,
01953,melons,160,Juvenile Court,
01954,millet,161,Juvenile Court 1,
01956,"nuts, tree",162,Juvenile Court 2,
1958,oats,163,Juvenile Court 3,
1960,"potatoes, irish",164,Juvenile Court 4,
1962,pumpkins,165,Juvenile Court 5,
1966,rice,166,Juvenile Court 6,
1967,rye,167,Juvenile Court 7,
1972,sorghum,168,Juvenile Court 8,
1973,soybeans,169,Juvenile Court 9,
1978,"sugarcane,sugarbeets",170,Revenue,
1985,tobacco,171,Revenue 1,
1990,vegetables,172,Revenue 2,
1994,wheat,173,Revenue 3,
2000,agricultural equip,174,Revenue 4,
2002,backhoe,175,Revenue 5,
2004,chippers -brush/tree,176,Revenue 6,
2006,brush cutters/saws,177,Revenue 7,
2010,"counters, acre",178,Revenue 8,
2013,cultivating equip,179,Revenue 9,
2014,curb edger,180,Comm. Attorney,
2015,mowers-flail-tow/ctr,181,Comm. Attorney 1,
2016,mowers-real & rotary,182,Comm. Attorney 2,
2018,dozer blades,183,Comm. Attorney 3,
2020,"drying equip, grain",184,Comm. Attorney 4,
2023,ensilage cutters,185,Comm. Attorney 5,
2025,farm wagons,186,Comm. Attorney 6,
2027,feed mills & mixers,187,Comm. Attorney 7,
2028,feed wagons,188,Comm. Attorney 8,
2030,fertilizer applicatr,189,Comm. Attorney 9,
2031,fertilizer distrbutr,191,Finance ,
2033,garden tractors,192,Finance 2,
2034,gang mowers,193,Finance 3,
2035,grain bins & tanks,194,Finance 4,
2036,grading machines,195,Finance 5,
2037,grass seed stripper,196,Finance 6,
2039,grass seeders,197,Finance 7,
2040,grinding mill - seed,198,Finance 8,
2041,harvesting equipment,199,Finance 9,
2043,haying equipment,200,Jeff. Lib.,
2046,insecticide equip,201,Jeff. Lib. 1,
2049,irrigation equip,202,Jeff. Lib. 2,
2059,land levelers,203,Jeff. Lib. 3,
2061,loaders/tractr mount,204,Jeff. Lib. 4,
2062,log splitters,205,Jeff. Lib. 5,
2063,manure spreaders,206,Jeff. Lib. 6,
2064,mower-articulat boom,207,Jeff. Lib. 7,
2065,mower: flail/rotary,208,Jeff. Lib. 8,
2066,mower:tractor mt,209,Jeff. Lib. 9,
2067,mower-slope mowing,210,Util. Billing,
2068,mower-ctr mount,211,Util. Billing 1,
2069,pasture renovators,212,Util. Billing 2,
2071,plant equip-broadcst,213,Util. Billing 3,
2072,plant equip-drill,214,Util. Billing 4,
2073,plant equip-rowcrop,215,Util. Billing 5,
2074,processing machinry,216,Util. Billing 6,
2075,posthole diggers,217,Util. Billing 7,
2076,protection structur,218,Util. Billing 8,
2077,rotary tillers,219,Util. Billing 9,
2078,recycle agricultural,220,Fire,
2079,rock pickers-rakes,221,Fire 1,
2081,rodent control equip,222,Fire 2,
2082,"spade, tree-mounted",223,Fire 3,
2083,sweeps&steel shapes,224,Fire 4,
2084,soil mixers-sampler,225,Fire 5,
2085,terracing equipment,226,Fire 6,
2087,tillage equipment,227,Fire 7,
2089,"tractors, farm",228,Fire 8,
2090,tree & root cutters,229,Fire 9,
2091,tree /timber tong,230,Voter Reg.,
2093,"umbrellas, tractor",231,Voter Reg. 1,
2095,unloader/elevator,232,Voter Reg. 2,
2096,wedge-tree felling,233,Voter Reg. 3,
2204,chipper/cutter/saw,234,Voter Reg. 4,
2213,cultivat equip parts,235,Voter Reg. 5,
2215,"mower, parts",236,Voter Reg. 6,
2230,fertilizer:distrib,237,Voter Reg. 7,
2241,harvest equip parts,238,Voter Reg. 8,
2242,haying equip parts,239,Voter Reg. 9,
2243,herb/insect/fung app,240,PW/Adm.,
2249,impl part:john deere,241,PW/Adm. 1,
2251,implement parts:ford,242,PW/Adm. 2,
2253,impl pts:int harvest,243,PW/Adm. 3,
2258,impl pts:other farm,244,PW/Adm. 4,
2262,"irrigation, agr",245,PW/Adm. 5,
2270,planting equip parts,246,PW/Adm. 6,
2273,posthole digger trac,247,PW/Adm. 7,
2274,recyc agricultural/i,248,PW/Adm. 8,
2275,sprigger/seeder part,249,PW/Adm. 9,
2277,tillage equip parts,250,Circuit Court,
2280,tractor (farm and ga,251,Circuit Court 1,
2282,tree spade/forestry,252,Circuit Court 2,
2295,grain equip parts,253,Circuit Court 3,
2297,wagon parts,254,Circuit Court 4,
2500,"air compressors, acc",255,Circuit Court 5,
2510,compre unit:15 hp-,256,Circuit Court 6,
2520,compre unit:15hp+,257,Circuit Court 7,
2530,"compress,base(15hp-)",258,Circuit Court 8,
2540,"compress,base(15hp+)",259,Circuit Court 9,
2543,compr:high pressure,260,PW/Transit,
2545,compress:port elect,261,PW/Transit 1,
2550,compress:elect motor,262,PW/Transit 2,
2555,dryers:desiccant air,263,PW/Transit 3,
2560,filter/gauge/valve,264,PW/Transit 4,
2570,mois septr:non-refri,265,PW/Transit 5,
2580,moisture septr:refri,266,PW/Transit 6,
2585,"motors, air compress",267,PW/Transit 7,
2590,recycle air comp sup,268,PW/Transit 8,
3100,hvac equip/parts,269,PW/Transit 9,
3102,air condition:port,270,SSvr/Comm,
3103,air condition:comm,271,SSvr/Comm 1,
3104,air cond:cont enviro,272,SSvr/Comm 2,
3105,air conditioners,273,SSvr/Comm 3,
3106,air/heat centrl unit,274,SSvr/Comm 4,
3107,air circulat equip,275,SSvr/Comm 5,
3108,air curtains,276,SSvr/Comm 6,
3109,air flow meters,277,SSvr/Comm 7,
3110,air purifiers/sup,278,SSvr/Comm 8,
3111,blowers:industrial,279,SSvr/Comm 9,
3113,chiller:exch/receive,280,SSvr/Family,
3114,chill water sys:port,281,SSvr/Family 1,
3115,chill water met sys,282,SSvr/Family 2,
3116,coating/sealant:duct,283,SSvr/Family 3,
3117,coil:chill/heat,284,SSvr/Family 4,
3118,coil/fan:air,285,SSvr/Family 5,
3120,comp ac hermet seal,286,SSvr/Family 6,
3121,compressor/ac:indust,287,SSvr/Family 7,
3123,condensing units:ac,288,SSvr/Family 8,
3124,cool tower water tre,289,SSvr/Family 9,
3125,control:switch/relay,290,PW/Traffic,
3126,control sys:compl,291,PW/Traffic 1,
3127,cooling tower water,292,PW/Traffic 2,
3128,cool twr:air/gravity,293,PW/Traffic 3,
3129,"dampers, motorized",294,PW/Traffic 4,
3130,dehumid/humidif,295,PW/Traffic 5,
3131,duct clean equip/air,296,PW/Traffic 6,
3132,duct prefab,297,PW/Traffic 7,
3133,duct:fabricat/metal,298,PW/Traffic 8,
3134,dust collector indus,299,PW/Traffic 9,
3136,electronic air clnr,300,District Court,
3138,evaporative coolers,301,District Court 1,
3140,fan:industrial attic,302,District Court 2,
3141,fans/ room-port,303,District Court 3,
3143,filter coating,304,District Court 4,
3144,filter ac/furn perm,305,District Court 5,
3145,"filters, hvac",306,District Court 6,
3146,filter:med evap cool,307,District Court 7,
3149,"filter frames, metal",308,District Court 8,
3150,freon,309,District Court 9,
3151,furnace ctl heat,310,Police,
3153,grille/diff/register,311,Police 1,
3155,hand tool ac/heat,312,Police 2,
3156,heat pumps,313,Police 3,
3157,heat elec baseboard,314,Police 4,
3158,heat electric panel,315,Police 5,
3159,heater electric port,316,Police 6,
3160,heat: gas-fire space,317,Police 7,
3161,"heat:gas-fire, wall",318,Police 8,
3162,heater kero/oil,319,Police 9,
3163,"heaters:space, steam",320,PW/Building,
3165,heat elements:elect,321,PW/Building 1,
3166,hydronic specialties,322,PW/Building 2,
3167,hvac equip,323,PW/Building 3,
3169,odor control equip,324,PW/Building 4,
3170,odor ctrl eq:duct,325,PW/Building 5,
3172,pumps/descaling acid,326,PW/Building 6,
3173,pumps:refrig/circ,327,PW/Building 7,
3174,pumps:refrig/vacuum,328,PW/Building 8,
3175,"radiators, heating",329,PW/Building 9,
3176,recycled hvac sup,330,Social Srv.,
3178,roof vent:pwr driven,331,Social Srv. 1,
3179,roof vent:wind drive,332,Social Srv. 2,
3180,solar heating units,333,Social Srv. 3,
3182,"stoves, wood or coal",334,Social Srv. 4,
3187,testing/record instr,335,Social Srv. 5,
3189,thermometers/gauges,336,Social Srv. 6,
3191,unit heaters:electr,337,Social Srv. 7,
3192,unit heater:gas fire,338,Social Srv. 8,
3193,unit heat:gas rad,339,Social Srv. 9,
3194,unit heater:steam,340,HR,
3195,ventilation equip,341,HR 1,
3196,vent pipe fitting/ac,342,HR 2,
3197,vacuum sys centr,343,HR 3,
3502,"ac unit, aircraft",344,HR 4,
3503,aeronautic chart/map,345,HR 5,
3504,aircraft avionics,346,HR 6,
3505,aircraft crash locat,347,HR 7,
3506,aircraft acc noc,348,HR 8,
3507,aircraft fusel/comp,349,HR 9,
3508,aircraft fenders,350,Visitor Bureau,
3509,aircraft communi,351,Visitor Bureau 1,
3510,aircraft navigation,352,Visitor Bureau 2,
3511,aircraft ctl sys,353,Visitor Bureau 3,
3515,aircraft radar,354,Visitor Bureau 4,
3516,aircraft rem oper,355,Visitor Bureau 5,
3520,airplanes,356,Visitor Bureau 6,
3521,airships,357,Visitor Bureau 7,
3522,airport equip noc,358,Visitor Bureau 8,
3523,airport equ grd pwr,359,Visitor Bureau 9,
3525,automatic pilot syst,360,PU/WWW,
3526,baggage handling,361,PU/WWW1,
3527,beacons:visual/rnwy,362,PU/WWW2,
3528,camera:aerial photo,363,PU/WWW3,
3529,drop equip: aerial,364,PU/WWW4,
3530,engine/part:airplane,365,PU/WWW5,
3531,encryp/decryp:aircr,366,PU/WWW6,
3532,eject/escape aircraf,367,PU/WWW7,
3535,engine/part:helicopt,368,PU/WWW8,
3537,engine instruments,369,PU/WWW9,
3540,"equip/sup, airplane",190,PW/Pub Srv.,
3544,fire ctrl sys:arcrft,370,PW/Pub Srv.,
3545,equip/sup:nav helico,371,PW/Pub Srv. 1,
3546,flight instrum.,372,PW/Pub Srv. 2,
3547,flight simulator,373,PW/Pub Srv. 3,
3548,gliders,374,PW/Pub Srv. 4,
3549,"hydrau sys, aircraft",375,PW/Pub Srv. 5,
3550,helicopters,376,PW/Pub Srv. 6,
3552,hot air balloons,377,PW/Pub Srv. 7,
3554,info dis sys flight,378,PW/Pub Srv. 8,
3555,instrument land sys,379,PW/Pub Srv. 9,
3560,"instru/tstrs, airpla",380,Fleet,
3565,instr/tester helicop,381,Fleet 1,
3566,landing/braking sys,382,Fleet 2,
3567,light:anti-collision,383,Fleet 3,
3568,metal crack detect,384,Fleet 4,
3569,magnatomtr secur equ,385,Fleet 5,
3570,"parts, airplane",386,Fleet 6,
3571,"oxyg equip, aircraft",387,Fleet 7,
3572,parachutes,388,Fleet 8,
3575,"part, helicop",389,Fleet 9,
3576,"power sys, aircraft",390,Warehouse,
3577,"photographs, aerial",391,Warehouse 1,
3578,ramps:aircraft board,392,Warehouse 2,
3579,recy aircraf equip,393,Warehouse 3,
3580,snow melter,394,Warehouse 4,
3581,sweeper runway,395,Warehouse 5,
3582,taxiway/runway test,396,Warehouse 6,
3583,tank:fuel (aircraft),397,Warehouse 7,
3585,"tools, airplane",398,Warehouse 8,
3590,"tools, helicopter",399,Warehouse 9,
3591,tow bar aircraft,400,Magistrate,
3592,"wind tee/sock, airp",401,Magistrate 1,
3593,tug/tractor aircraft,402,Magistrate 2,
3594,warn sy aircra,403,Magistrate 3,
3595,x-ray scanner,404,Magistrate 4,
3700,amusement/décor,405,Magistrate 5,
3718,bar equip/acc,406,Magistrate 6,
3723,card greet/gift,407,Magistrate 7,
3725,carnival/fair equip,408,Magistrate 8,
3728,collecti:coin/stamp,409,Magistrate 9,
3734,"decoration, party",410,PU/GAS,
3735,decor house/off item,411,PU/GAS1,
3743,gifts,412,PU/GAS2,
3752,novelty/advertising,413,PU/GAS3,
3756,"paper, crepe",414,PU/GAS4,
3763,"recyc deco, game/toy",415,PU/GAS5,
3764,"replicas food, fruit",416,PU/GAS6,
3775,soda fount equip,417,PU/GAS7,
3778,souvenirs promo adv,418,PU/GAS8,
3784,toys/games not educ,419,PU/GAS9,
3788,video game machines,420,Parks,
3789,video games,421,Parks 1,
4001,"amphibia, live",422,Parks 2,
4002,animal carriers,423,Parks 3,
4003,animal care supplies,424,Parks 4,
4004,animal train equip,425,Parks 5,
4005,bees,426,Parks 6,
4007,birds,427,Parks 7,
4008,cages/shelter,428,Parks 8,
4009,"cats,  (pets)",429,Parks 9,
4010,"cattle, beef (brd)",430,Recreation,
4011,"cattle, beef (comm)",431,Recreation 1,
